INCIDENT_NUMBER;OFFENSE_CODE_GROUP;OCCURRED_ON_DATE;UCR_PART;Lat;Long
I182079377;Motor Vehicle Accident Response;01/10/2018 08:10;Part Three;4.233.894.278;-7.115.027.902
I182079371;Auto Theft;29/09/2018 14:00;Part One;4.226.362.350;-7.115.452.494
I182079365;Motor Vehicle Accident Response;27/09/2018 12:00;Part Three;4.234.585.625;-7.108.099.529
I182079357;Residential Burglary;01/10/2018 06:45;Part One;4.231.028.216;-7.109.907.631
I182079349;Auto Theft;12/08/2018 22:00;Part One;4.227.743.055;-7.106.851.083
I182079342;Larceny;01/10/2018 09:15;Part One;4.235.384.568;-7.104.593.135
I182079337;Investigate Person;19/02/2018 15:00;Part Three;4.236.240.281;-7.106.954.652
I182079331;Motor Vehicle Accident Response;01/10/2018 11:59;Part Three;4.226.994.732;-7.109.380.308
I182079325;Commercial Burglary;28/09/2018 17:00;Part One;4.235.916.991;-7.105.772.912
I182079317;Auto Theft;10/08/2018 13:47;Part One;4.239.352.862;-7.101.158.244
I182079309;Larceny;30/09/2018 17:30;Part One;4.235.095.909;-7.107.412.780
I182079307;Other;01/10/2018 12:09;Part Two;4.233.222.280;-7.107.167.184
I182079302;Motor Vehicle Accident Response;01/10/2018 12:03;Part Three;4.224.260.011;-7.113.035.022
I182079293;Other;15/09/2018 17:04;Part Two;4.223.631.051;-7.113.231.083
I182079287;Investigate Person;24/09/2018 00:00;Part Three;4.229.443.670;-7.105.661.774
I182079280;Aggravated Assault;01/10/2018 11:00;Part One;4.228.245.514;-7.109.448.768
I182079274;Violations;01/10/2018 10:13;Part Two;4.231.344.836;-7.110.471.053
I182079267;Property Lost;01/10/2018 11:29;Part Three;4.228.464.725;-7.109.473.285
I182079260;Investigate Person;01/10/2018 10:15;Part Three;4.236.314.768;-7.106.689.355
I182079254;Property Lost;01/10/2018 11:03;Part Three;4.228.855.818;-7.108.839.470
I182079248;Towed;01/10/2018 10:50;Part Three;4.233.658.328;-7.105.617.292
I182079242;Property Lost;30/09/2018 00:30;Part Three;4.234.828.759;-7.107.891.773
I182079237;Other;01/10/2018 10:24;Part Two;4.234.784.911;-7.105.042.136
I182079231;Investigate Property;01/10/2018 07:26;Part Three;4.235.090.060;-7.106.068.690
I182079223;Towed;01/10/2018 08:05;Part Three;4.235.317.358;-7.107.266.833
I182079214;Motor Vehicle Accident Response;01/10/2018 09:08;Part Three;4.230.916.025;-7.106.631.061
I182079208;Other Burglary;30/09/2018 20:30;Part One;4.230.629.091;-7.106.512.497
I182079201;Larceny From Motor Vehicle;10/01/2018 07:10;Part One;4.234.607.870;-7.109.566.840
I182079195;Motor Vehicle Accident Response;01/10/2018 07:00;Part Three;4.229.571.922;-7.111.827.307
I182079185;Motor Vehicle Accident Response;01/10/2018 05:12;Part Three;4.229.420.769;-7.104.975.975
I182079179;Medical Assistance;01/10/2018 02:37;Part Three;4.229.918.970;-7.108.150.445
I182079172;Investigate Property;30/09/2018 21:26;Part Three;4.232.238.370;-7.108.045.420
I182079163;Investigate Person;30/09/2018 23:05;Part Three;4.233.869.635;-7.107.139.879
I182079154;Motor Vehicle Accident Response;30/09/2018 22:15;Part Three;4.230.044.415;-7.106.768.020
I182079149;Verbal Disputes;30/09/2018 22:17;Part Three;4.229.204.070;-7.107.544.515
I182079140;Towed;30/09/2018 21:00;Part Three;4.237.968.456;-7.103.428.645
I182079134;License Violation;30/09/2018 20:31;Part Three;4.234.901.954;-7.108.130.134
I182079130;Larceny;30/09/2018 19:21;Part One;4.234.840.576;-7.108.688.339
I182079123;Fire Related Reports;30/09/2018 19:11;Part Three;4.237.879.416;-7.106.685.943
I182079114;Motor Vehicle Accident Response;30/09/2018 19:09;Part Three;4.233.203.815;-7.107.939.319
I182079104;Motor Vehicle Accident Response;30/09/2018 18:16;Part Three;4.235.209.098;-7.114.013.099
I182079101;Investigate Property;30/09/2018 18:26;Part Three;4.231.768.237;-7.107.027.631
I182079097;Property Lost;30/09/2018 16:39;Part Three;4.229.690.445;-7.109.026.740
I182079092;Simple Assault;30/09/2018 12:25;Part Two;4.232.362.958;-7.106.867.761
I182079085;Larceny;29/09/2018 19:30;Part One;4.234.862.382;-7.108.277.637
I182079078;Other;31/07/2018 16:00;Part Two;4.233.595.449;-7.108.301.373
I182079070;Property Lost;29/09/2018 21:30;Part Three;4.229.569.680;-7.107.214.055
I182079061;Harassment;30/09/2018 15:23;Part Two;4.235.451.931;-7.107.588.082
I182079054;Investigate Property;30/09/2018 15:22;Part Three;4.236.643.546;-7.106.135.413
I182079047;Larceny;23/09/2018 15:00;Part One;4.233.753.031;-7.107.448.985
I182079039;Towed;30/09/2018 13:36;Part Three;4.234.450.403;-7.107.217.209
I182079028;Larceny;30/09/2018 06:01;Part One;4.235.997.967;-7.105.474.135
I182079022;Investigate Person;30/09/2018 12:15;Part Three;4.227.294.490;-7.109.348.933
I182079015;Liquor Violation;30/09/2018 12:11;Part Two;4.233.010.198;-7.108.319.640
I182079008;Property Found;30/09/2018 11:41;Part Three;4.233.304.112;-7.103.989.920
I182078998;Investigate Property;30/09/2018 10:56;Part Three;4.235.064.439;-7.106.811.584
I182078991;Medical Assistance;30/09/2018 09:10;Part Three;4.236.394.509;-7.105.942.841
I182078984;Larceny;30/09/2018 00:40;Part One;4.235.159.398;-7.112.865.659
I182078978;Verbal Disputes;30/09/2018 08:03;Part Three;4.229.282.591;-7.107.966.513
I182078972;Motor Vehicle Accident Response;30/09/2018 08:05;Part Three;4.228.227.570;-7.104.729.084
I182078959;Larceny;30/09/2018 04:48;Part One;4.235.037.870;-7.107.626.098
I182078951;Medical Assistance;30/09/2018 03:57;Part Three;4.229.307.889;-7.108.054.237
I182078941;Investigate Person;30/09/2018 03:01;Part Three;4.231.667.114;-7.109.743.705
I182078932;Missing Person Located;29/09/2018 20:30;Part Three;4.232.696.802;-7.108.051.941
I182078922;Medical Assistance;30/09/2018 00:27;Part Three;4.235.491.054;-7.112.719.273
I182078915;Investigate Person;29/09/2018 23:42;Part Three;4.229.663.584;-7.108.729.385
I182078911;Motor Vehicle Accident Response;29/09/2018 23:07;Part Three;4.232.022.882;-7.106.307.063
I182078902;Other;29/09/2018 21:52;Part Two;4.234.134.946;-7.115.122.795
I182078894;Auto Theft;29/09/2018 16:20;Part One;4.233.653.701;-7.107.927.092
I182078888;Medical Assistance;29/09/2018 20:18;Part Three;4.230.090.969;-7.107.425.843
I182078881;Vandalism;29/09/2018 19:42;Part Two;4.230.927.790;-7.107.868.791
I182078877;Prisoner Related Incidents;29/09/2018 18:14;Part Two;4.233.555.954;-7.107.436.364
I182078870;Motor Vehicle Accident Response;29/09/2018 19:11;Part Three;4.234.218.758;-7.108.407.092
I182078863;Larceny;29/09/2018 11:30;Part One;4.235.883.898;-7.106.608.613
I182078856;Towed;29/09/2018 16:54;Part Three;4.234.475.099;-7.114.600.972
I182078847;Drug Violation;29/09/2018 17:32;Part Two;4.231.684.532;-7.106.556.419
I182078839;Medical Assistance;29/09/2018 17:31;Part Three;4.235.554.806;-7.106.073.140
I182078833;Medical Assistance;29/09/2018 16:27;Part Three;4.235.103.105;-7.106.373.331
I182078827;Investigate Person;29/09/2018 16:10;Part Three;4.233.802.658;-7.105.492.863
I182078820;Fraud;28/09/2018 17:16;Part Two;4.235.512.339;-7.106.087.980
I182078812;Investigate Person;29/09/2018 14:00;Part Three;4.237.968.456;-7.103.428.645
I182078805;Property Lost;29/09/2018 02:00;Part Three;4.232.075.362;-7.107.405.968
I182078798;Investigate Person;29/09/2018 13:14;Part Three;4.234.314.406;-7.109.589.305
I182078791;Medical Assistance;29/09/2018 12:27;Part Three;4.232.483.301;-7.110.164.757
I182078784;Medical Assistance;29/09/2018 12:38;Part Three;4.234.905.512;-7.115.235.302
I182078773;Larceny;29/09/2018 11:19;Part One;4.235.095.909;-7.107.412.780
I182078766;Larceny From Motor Vehicle;28/09/2018 05:00;Part One;4.234.485.370;-7.114.006.808
I182078759;Simple Assault;29/09/2018 10:55;Part Two;4.232.424.069;-7.107.761.917
I182078754;Medical Assistance;29/09/2018 10:48;Part Three;4.238.180.833;-7.105.615.420
I182078748;Vandalism;29/09/2018 10:23;Part Two;4.228.314.714;-7.111.374.152
I182078743;Simple Assault;27/09/2018 17:00;Part Two;4.232.925.905;-7.108.482.402
I182078737;Medical Assistance;29/09/2018 10:11;Part Three;4.234.133.195;-7.107.655.340
I182078731;Larceny From Motor Vehicle;28/09/2018 18:30;Part One;4.233.175.215;-7.110.046.906
I182078724;Drug Violation;29/09/2018 08:02;Part Two;4.229.224.995;-7.115.272.034
I182078715;Towed;29/09/2018 06:00;Part Three;4.229.946.190;-7.108.360.148
I182078707;Medical Assistance;29/09/2018 04:49;Part Three;4.229.843.275;-7.108.122.675
I182078699;Firearm Discovery;29/09/2018 04:01;Part Three;4.233.041.863;-7.108.250.130
I182078693;Larceny;29/09/2018 01:45;Part One;4.235.143.483;-7.106.969.334
I182078690;Medical Assistance;29/09/2018 01:19;Part Three;4.235.089.442;-7.112.982.572
I182078684;Investigate Person;29/09/2018 00:10;Part Three;4.235.066.174;-7.106.602.232
I182078673;Medical Assistance;29/09/2018 02:26;Part Three;4.235.673.302;-7.105.755.938
I182078666;Missing Person Located;28/09/2018 09:30;Part Three;4.227.809.813;-7.107.421.895
I182078655;Simple Assault;29/09/2018 00:35;Part Two;4.233.152.148;-7.107.085.307
I182078648;Aggravated Assault;29/09/2018 00:05;Part One;4.230.638.323;-7.106.021.218
I182078646;Missing Person Located;28/09/2018 07:30;Part Three;4.229.603.943;-7.107.717.023
I182078637;Investigate Person;28/09/2018 23:11;Part Three;4.226.303.952;-7.112.230.282
I182078628;Other;28/09/2018 22:26;Part Two;4.232.004.176;-7.106.104.118
I182078622;Motor Vehicle Accident Response;28/09/2018 22:18;Part Three;4.224.826.158;-7.112.716.914
I182078611;Simple Assault;28/09/2018 21:37;Part Two;4.235.157.076;-7.107.186.599
I182078604;Investigate Property;28/09/2018 21:27;Part Three;4.228.419.598;-7.112.476.798
I182078595;Vandalism;28/09/2018 20:44;Part Two;4.228.520.997;-7.108.057.548
I182078589;Ballistics;28/09/2018 20:02;Part Two;4.237.037.238;-7.103.144.802
I182078581;Missing Person Located;28/09/2018 18:34;Part Three;4.231.949.779;-7.109.707.352
I182078574;Robbery;11/09/2018 09:40;Part One;4.234.285.014;-7.106.516.235
I182078569;Investigate Person;28/09/2018 17:11;Part Three;4.233.130.578;-7.107.194.742
I182078564;Vandalism;27/09/2018 19:11;Part Two;4.234.377.327;-7.115.305.012
I182078555;Property Related Damage;28/09/2018 17:37;Part Three;4.232.853.529;-7.108.213.874
I182078546;Larceny;28/09/2018 17:30;Part One;4.235.648.631;-7.105.928.145
I182078540;Vandalism;28/09/2018 17:00;Part Two;4.231.226.446;-7.109.020.559
I182078535;Other;28/09/2018 17:37;Part Two;4.229.521.820;-7.106.068.709
I182078527;Robbery;28/09/2018 14:09;Part One;4.231.745.360;-7.107.327.858
I182078519;Medical Assistance;28/09/2018 15:47;Part Three;4.228.029.155;-7.107.220.576
I182078510;Harassment;28/09/2018 16:08;Part Two;4.233.789.065;-7.106.919.427
I182078502;Other;28/09/2018 13:20;Part Two;4.228.446.743;-7.111.183.089
I182078495;Robbery;27/09/2018 23:30;Part One;4.236.243.437;-7.106.391.810
I182078483;Other;28/09/2018 14:48;Part Two;4.225.556.696;-7.111.902.026
I182078477;Medical Assistance;28/09/2018 13:47;Part Three;4.228.724.944;-7.107.076.867
I182078470;Other Burglary;27/09/2018 19:00;Part One;4.234.649.653;-7.110.692.212
I182078464;Search Warrants;28/09/2018 13:57;Part Three;4.228.479.807;-7.108.685.632
I182078453;Property Found;24/07/2018 12:21;Part Three;4.232.036.808;-7.109.260.847
I182078445;Counterfeiting;06/09/2018 00:00;Part Two;4.233.561.661;-7.103.641.895
I182078438;Verbal Disputes;28/09/2018 12:19;Part Three;4.233.586.257;-7.105.566.936
I182078431;Investigate Person;28/09/2018 10:48;Part Three;4.227.158.947;-7.107.752.678
I182078423;Towed;28/09/2018 10:07;Part Three;4.233.984.684;-7.105.532.022
I182078418;Simple Assault;28/09/2018 11:31;Part Two;4.231.485.546;-7.109.922.410
I182078412;Confidence Games;25/07/2018 00:00;Part Two;4.228.770.514;-7.113.400.450
I182078406;Investigate Person;28/09/2018 09:36;Part Three;4.225.040.550;-7.113.173.740
I182078401;Firearm Violations;28/09/2018 10:50;Part Two;4.231.633.855;-7.106.879.992
I182078400;Towed;28/09/2018 07:05;Part Three;4.236.475.392;-7.105.469.547
I182078394;Investigate Person;27/09/2018 19:00;Part Three;4.237.724.639;-7.103.259.708
I182078391;Towed;28/09/2018 09:20;Part Three;4.233.432.594;-7.105.340.783
I182078384;Liquor Violation;28/09/2018 09:37;Part Two;4.230.082.268;-7.108.589.873
I182078377;Investigate Person;28/09/2018 09:21;Part Three;4.233.744.152;-7.110.428.096
I182078374;Other;28/09/2018 08:23;Part Two;4.231.731.905;-7.106.150.882
I182078368;Harassment;25/09/2018 08:00;Part Two;4.231.341.383;-7.107.789.593
I182078360;Verbal Disputes;28/09/2018 08:02;Part Three;4.231.825.005;-7.106.122.687
I182078349;Investigate Person;28/09/2018 02:39;Part Three;4.231.024.448;-7.109.789.910
I182078343;Medical Assistance;28/09/2018 02:40;Part Three;4.237.029.336;-7.103.925.861
I182078338;Missing Person Located;27/09/2018 06:30;Part Three;4.230.288.397;-7.106.918.798
I182078330;Vandalism;27/09/2018 23:32;Part Two;4.231.442.149;-7.108.770.806
I182078320;Investigate Property;26/09/2018 11:30;Part Three;4.229.128.494;-7.107.033.890
I182078312;Police Service Incidents;27/09/2018 21:41;Part Three;4.235.231.190;-7.106.370.510
I182078303;Other;27/09/2018 21:03;Part Two;4.238.423.979;-7.100.003.921
I182078296;Other;27/09/2018 16:00;Part Two;4.225.940.183;-7.111.731.570
I182078288;Other;27/09/2018 18:53;Part Two;4.234.877.575;-7.109.606.805
I182078281;Drug Violation;27/09/2018 19:57;Part Two;4.237.081.805;-7.103.929.078
I182078274;Medical Assistance;27/09/2018 18:06;Part Three;4.230.154.555;-7.108.118.184
I182078267;Harassment;01/06/2018 18:00;Part Two;4.234.569.100;-7.106.336.500
I182078260;Motor Vehicle Accident Response;27/09/2018 17:46;Part Three;4.227.886.268;-7.113.266.819
I182078250;Property Lost;22/06/2018 00:00;Part Three;4.228.478.204;-7.111.786.964
I182078244;Medical Assistance;27/09/2018 16:02;Part Three;4.228.020.477;-7.108.691.240
I182078239;Motor Vehicle Accident Response;27/09/2018 18:00;Part Three;4.233.655.350;-7.110.198.577
I182078232;Confidence Games;24/09/2018 12:00;Part Two;4.227.409.180;-7.113.951.459
I182078224;Aggravated Assault;27/09/2018 17:10;Part One;4.227.586.847;-7.108.852.892
I182078217;Larceny;27/09/2018 09:00;Part One;4.236.031.809;-7.106.690.755
I182078211;Vandalism;27/09/2018 14:59;Part Two;4.235.648.631;-7.105.928.145
I182078207;Motor Vehicle Accident Response;27/09/2018 15:55;Part Three;4.226.820.198;-7.109.367.344
I182078200;Fraud;24/09/2018 00:00;Part Two;4.228.265.604;-7.107.374.541
I182078192;Motor Vehicle Accident Response;27/09/2018 12:30;Part Three;4.229.960.791;-7.106.094.616
I182078185;Towed;27/09/2018 10:34;Part Three;4.231.830.219;-7.108.575.355
I182078177;Larceny;27/09/2018 14:37;Part One;4.234.439.568;-7.108.632.016
I182078171;Motor Vehicle Accident Response;27/09/2018 10:15;Part Three;4.236.054.246;-7.111.929.277
I182078163;Medical Assistance;27/09/2018 13:15;Part Three;4.232.133.813;-7.109.924.423
I182078154;Larceny;27/09/2018 13:25;Part One;4.235.059.717;-7.107.881.031
I182078148;Aggravated Assault;27/09/2018 13:14;Part One;4.233.816.387;-7.107.461.217
I182078140;Drug Violation;27/09/2018 13:00;Part Two;4.231.226.446;-7.109.020.559
I182078132;Medical Assistance;27/09/2018 07:38;Part Three;4.233.093.363;-7.110.956.443
I182078124;Investigate Person;27/09/2018 12:38;Part Three;4.234.576.720;-7.114.589.873
I182078119;Simple Assault;27/09/2018 12:00;Part Two;4.233.285.027;-7.104.417.249
I182078113;Vandalism;25/09/2018 22:00;Part Two;4.227.379.841;-7.112.188.859
I182078108;Aggravated Assault;27/09/2018 09:00;Part One;4.231.779.354;-7.104.210.959
I182078101;Property Lost;27/09/2018 11:18;Part Three;4.230.649.283;-7.108.180.677
I182078096;Other;26/09/2018 15:30;Part Two;4.230.876.959;-7.107.460.717
I182078087;Warrant Arrests;27/09/2018 10:01;Part Three;4.230.970.016;-7.108.582.414
I182078081;Warrant Arrests;27/09/2018 09:46;Part Three;4.232.469.443;-7.110.087.902
I182078074;Larceny From Motor Vehicle;27/09/2018 09:51;Part One;4.233.737.507;-7.104.649.644
I182078067;Robbery;27/09/2018 09:22;Part One;4.229.851.793;-7.107.499.608
I182078057;Other;27/09/2018 08:31;Part Two;4.235.521.625;-7.106.012.863
I182078053;Towed;27/09/2018 08:59;Part Three;4.228.919.902;-7.112.309.195
I182078045;Larceny;27/09/2018 07:37;Part One;4.234.439.568;-7.108.632.016
I182078037;Motor Vehicle Accident Response;27/09/2018 05:39;Part Three;4.224.451.770;-7.113.722.687
I182078028;Investigate Property;27/09/2018 03:12;Part Three;4.227.136.596;-7.111.277.239
I182078017;Investigate Person;27/09/2018 01:40;Part Three;4.234.835.708;-7.113.645.291
I182078008;Motor Vehicle Accident Response;27/09/2018 00:00;Part Three;4.230.947.016;-7.106.664.424
I182077998;Investigate Person;26/09/2018 23:17;Part Three;4.236.904.410;-7.104.120.390
I182077988;Simple Assault;26/09/2018 22:20;Part Two;4.232.214.915;-7.110.091.019
I182077980;Motor Vehicle Accident Response;26/09/2018 18:39;Part Three;4.228.385.993;-7.108.599.096
I182077971;Other;26/09/2018 19:05;Part Two;4.235.162.789;-7.106.866.410
I182077965;Other;26/09/2018 21:14;Part Two;4.233.033.530;-7.105.760.678
I182077958;Ballistics;26/09/2018 20:20;Part Two;4.228.374.593;-7.108.938.232
I182077952;Towed;26/09/2018 09:40;Part Three;4.233.325.862;-7.110.748.130
I182077945;Fire Related Reports;26/09/2018 19:15;Part Three;4.230.471.224;-7.111.794.342
I182077938;Drug Violation;26/09/2018 20:02;Part Two;4.225.843.909;-7.112.348.834
I182077931;Drug Violation;26/09/2018 19:10;Part Two;4.234.531.664;-7.114.298.078
I182077925;Investigate Person;26/09/2018 17:40;Part Three;4.234.021.611;-7.110.956.117
I182077919;Simple Assault;24/09/2018 19:15;Part Two;4.235.118.005;-7.107.666.607
I182077913;Other;26/09/2018 18:48;Part Two;4.230.910.782;-7.107.253.989
I182077905;Motor Vehicle Accident Response;26/09/2018 11:00;Part Three;4.238.180.833;-7.105.615.420
I182077897;Restraining Order Violations;26/09/2018 17:25;Part Two;4.228.112.225;-7.113.383.820
I182077893;Motor Vehicle Accident Response;26/09/2018 17:53;Part Three;4.235.755.497;-7.114.823.430
I182077884;Investigate Person;26/09/2018 17:17;Part Three;4.239.269.663;-7.100.842.413
I182077878;Investigate Person;26/09/2018 16:10;Part Three;4.230.576.686;-7.108.097.517
